,0
f_61_e,102
f_61_c,74
f_237_Mexico,63
f_61_a,57
f_237_Canada,54
f_61_d,43
f_61_b,31
f_149,21
f_78,21
f_188,18
f_136,14
f_74,14
f_76,14
f_18,14
f_100,13
f_144,12
f_4,10
f_69,9
f_111,8
f_155,7
f_16,7
f_173,7
f_33,6
f_92,6
f_225,5
f_206,5
f_0,5
f_48,5
f_59,5
f_58,5
f_177,4
f_53,4
f_129,4
f_178,4
f_27,4
f_107,4
f_135,3
f_10,3
f_199,3
f_2,3
f_60,3
f_202,3
f_50,3
f_252,3
f_229,3
f_127,3
f_237_USA,3
f_131,2
f_68,2
f_125,2
f_67,2
f_64,2
f_128,2
f_121_D,2
f_159,2
f_17,2
f_37,2
f_122,2
f_42,2
f_98,2
f_200,2
f_56,2
f_221,2
f_24,2
f_246,2
f_238,2
f_236,2
f_45,2
f_191,2
f_108,1
f_251,1
f_112,1
f_118,1
f_120,1
f_121_A,1
f_90,1
f_1,1
f_73,1
f_183,1
f_46,1
f_22,1
f_216,1
f_140,1
f_204,1
f_203,1
f_152,1
f_154,1
f_158,1
f_198,1
f_6,1
f_194,1
f_170,1
f_226,1
