0,"mean: -25.79173, std: 1.06554, params: {'max_depth': 2, 'min_child_weight': 1}"
1,"mean: -25.79143, std: 1.06806, params: {'max_depth': 2, 'min_child_weight': 2}"
2,"mean: -25.78834, std: 1.07625, params: {'max_depth': 2, 'min_child_weight': 3}"
3,"mean: -25.77967, std: 1.07114, params: {'max_depth': 2, 'min_child_weight': 4}"
4,"mean: -25.78510, std: 1.07518, params: {'max_depth': 2, 'min_child_weight': 5}"
5,"mean: -25.79414, std: 1.08182, params: {'max_depth': 2, 'min_child_weight': 6}"
6,"mean: -25.77264, std: 1.07043, params: {'max_depth': 2, 'min_child_weight': 10}"
7,"mean: -25.80502, std: 1.08110, params: {'max_depth': 2, 'min_child_weight': 15}"
8,"mean: -25.77385, std: 1.05444, params: {'max_depth': 2, 'min_child_weight': 100}"
9,"mean: -25.98863, std: 1.05106, params: {'max_depth': 3, 'min_child_weight': 1}"
10,"mean: -25.95940, std: 1.04144, params: {'max_depth': 3, 'min_child_weight': 2}"
11,"mean: -25.96406, std: 1.05496, params: {'max_depth': 3, 'min_child_weight': 3}"
12,"mean: -25.96791, std: 1.04725, params: {'max_depth': 3, 'min_child_weight': 4}"
13,"mean: -25.95774, std: 1.05284, params: {'max_depth': 3, 'min_child_weight': 5}"
14,"mean: -25.94458, std: 1.07355, params: {'max_depth': 3, 'min_child_weight': 6}"
15,"mean: -25.95445, std: 1.10332, params: {'max_depth': 3, 'min_child_weight': 10}"
16,"mean: -25.94847, std: 1.07505, params: {'max_depth': 3, 'min_child_weight': 15}"
17,"mean: -26.03833, std: 1.13381, params: {'max_depth': 3, 'min_child_weight': 100}"
18,"mean: -26.15647, std: 1.07961, params: {'max_depth': 4, 'min_child_weight': 1}"
19,"mean: -26.15466, std: 1.12492, params: {'max_depth': 4, 'min_child_weight': 2}"
20,"mean: -26.16553, std: 1.09557, params: {'max_depth': 4, 'min_child_weight': 3}"
21,"mean: -26.13109, std: 1.14375, params: {'max_depth': 4, 'min_child_weight': 4}"
22,"mean: -26.15288, std: 1.13333, params: {'max_depth': 4, 'min_child_weight': 5}"
23,"mean: -26.12517, std: 1.11667, params: {'max_depth': 4, 'min_child_weight': 6}"
24,"mean: -26.22700, std: 1.16131, params: {'max_depth': 4, 'min_child_weight': 10}"
25,"mean: -26.20828, std: 1.13838, params: {'max_depth': 4, 'min_child_weight': 15}"
26,"mean: -26.16305, std: 1.13937, params: {'max_depth': 4, 'min_child_weight': 100}"
27,"mean: -26.23184, std: 1.14255, params: {'max_depth': 5, 'min_child_weight': 1}"
28,"mean: -26.18802, std: 1.15967, params: {'max_depth': 5, 'min_child_weight': 2}"
29,"mean: -26.29581, std: 1.11165, params: {'max_depth': 5, 'min_child_weight': 3}"
30,"mean: -26.26767, std: 1.08567, params: {'max_depth': 5, 'min_child_weight': 4}"
31,"mean: -26.30504, std: 1.09763, params: {'max_depth': 5, 'min_child_weight': 5}"
32,"mean: -26.34005, std: 1.14801, params: {'max_depth': 5, 'min_child_weight': 6}"
33,"mean: -26.36546, std: 1.09925, params: {'max_depth': 5, 'min_child_weight': 10}"
34,"mean: -26.40731, std: 1.14468, params: {'max_depth': 5, 'min_child_weight': 15}"
35,"mean: -26.36741, std: 1.10175, params: {'max_depth': 5, 'min_child_weight': 100}"
36,"mean: -26.35816, std: 1.14195, params: {'max_depth': 6, 'min_child_weight': 1}"
37,"mean: -26.38239, std: 1.19307, params: {'max_depth': 6, 'min_child_weight': 2}"
38,"mean: -26.38673, std: 1.17131, params: {'max_depth': 6, 'min_child_weight': 3}"
39,"mean: -26.29307, std: 1.28582, params: {'max_depth': 6, 'min_child_weight': 4}"
40,"mean: -26.43841, std: 1.29772, params: {'max_depth': 6, 'min_child_weight': 5}"
41,"mean: -26.33392, std: 1.26196, params: {'max_depth': 6, 'min_child_weight': 6}"
42,"mean: -26.36592, std: 1.15608, params: {'max_depth': 6, 'min_child_weight': 10}"
43,"mean: -26.52722, std: 1.21409, params: {'max_depth': 6, 'min_child_weight': 15}"
44,"mean: -26.65148, std: 1.18298, params: {'max_depth': 6, 'min_child_weight': 100}"
